NR	FILENR	ID	SYMBOL	USE	TRACE	RU	PL
24210	963	125851	VLK_3116_SANCHO	C_NPC.NAME	C_NPC.NAME	Санчес	Sancho
24211	963	125855	STRF_3117_FASKO	C_NPC.NAME	C_NPC.NAME	Фаско	Fasko
24212	963	125860	VLK_3118_HARLAN	C_NPC.NAME	C_NPC.NAME	Харлан	Harlan
24213	963	125868	STRF_3119_RONALD	C_NPC.NAME	C_NPC.NAME	Роланд	Ronald
24214	963	125873	NONE_3124_SEK	C_NPC.NAME	C_NPC.NAME	Сэк	Sek
24215	963	125884	NONE_3122_ROCKY	C_NPC.NAME	C_NPC.NAME	Рокки	Rocky
24222	976	126248	ZOMBIE_OM10	C_NPC.NAME	C_NPC.NAME	Страж-фанатик защитник	Fanatyczny obrońca
24223	976	126251	ZOMBIE_OM11	C_NPC.NAME	C_NPC.NAME	Страж-фанатик защитник	Fanatyczny obrońca
24224	976	126254	ZOMBIE_OM12	C_NPC.NAME	C_NPC.NAME	Страж-фанатик защитник	Fanatyczny obrońca
24285	1024	127934	KDF_641_DEMRION	C_NPC.NAME	C_NPC.NAME	Демрион	Demrion
24286	1024	127939	KDF_642_DEMRION_ASTRALPROJEKTION	C_NPC.NAME	C_NPC.NAME	Демрион	Demrion
24287	1024	127944	KDF_643_SANATRAS	C_NPC.NAME	C_NPC.NAME	Санатрас	Sanatras
24288	1024	127950	KDF_644_TUBUR	C_NPC.NAME	C_NPC.NAME	Тубур	Tubur
24289	1024	127982	KDF_645_ESOTARIS	C_NPC.NAME	C_NPC.NAME	Эо’Тарис	Esotaris
24290	1024	128019	KDF_646_KRAITOS	C_NPC.NAME	C_NPC.NAME	Крайтос	Kraitos
24291	1024	128033	KDF_647_NYRAN	C_NPC.NAME	C_NPC.NAME	Ниран	Nyran
24292	1024	128066	KDF_648_REMORAZ	C_NPC.NAME	C_NPC.NAME	Ремораз	Remoraz
24293	1024	128078	KDF_649_WORAS	C_NPC.NAME	C_NPC.NAME	Ворас	Woras
24294	1024	128085	KDF_650_KEL	C_NPC.NAME	C_NPC.NAME	Кел	Kel
24295	1024	128104	KDF_651_KEL	C_NPC.NAME	C_NPC.NAME	Кел	Kel
24296	1024	128115	KDF_652_MIRAS	C_NPC.NAME	C_NPC.NAME	Мирас	Miras
24313	1040	128656	KDW_7014_TAMIRAS	C_NPC.NAME	C_NPC.NAME	Тамирас	Tamiras
24314	1040	128661	KDW_7015_LEVADIAN	C_NPC.NAME	C_NPC.NAME	Левадиан	Lavadian
24315	1040	128666	KDW_7016_MERDRON	C_NPC.NAME	C_NPC.NAME	Мэрдрон	Merdron
24408	1193	130346	BDT_997_DOEN	C_NPC.NAME	C_NPC.NAME	Доэн	Doen
24409	1193	130354	BDT_998_HALVAR	C_NPC.NAME	C_NPC.NAME	Халвар	Halvar
24410	1193	130363	GRD_146_ERWIN	C_NPC.NAME	C_NPC.NAME	Эрвин	Erwin
24411	1193	130389	GRD_147_CLARENCE	C_NPC.NAME	C_NPC.NAME	Кларенс	Clarence
