NR	FILENR	ID	SYMBOL	USE	TRACE	RU	PL
29058	-1	41891	DIA_VLK_3123_RANDOLPH_HONIG_INFO	AI_OUTPUT(SELF,OTHER,"DIA_VLK_3123_Randolph_honig_14_04")	SUBTITLE	Да, можно. Дай сюда!	Äŕ, ěîćíî. Äŕé ńţäŕ!
29059	-1	41891	DIA_VLK_3123_RANDOLPH_HONIG_INFO	AI_OUTPUT(SELF,OTHER,"DIA_VLK_3123_Randolph_honig_14_04")	SUBTITLE	Да, можно. Дай сюда!	Äŕ, ěîćíî. Äŕé ńţäŕ!
29060	-1	41891	DIA_VLK_3123_RANDOLPH_HONIG_INFO	AI_OUTPUT(SELF,OTHER,"DIA_VLK_3123_Randolph_honig_14_04")	SUBTITLE	Да, можно. Дай сюда!	Äŕ, ěîćíî. Äŕé ńţäŕ!
29061	-1	41891	DIA_VLK_3123_RANDOLPH_HONIG_INFO	AI_OUTPUT(SELF,OTHER,"DIA_VLK_3123_Randolph_honig_14_04")	SUBTITLE	Да, можно. Дай сюда!	Äŕ, ěîćíî. Äŕé ńţäŕ!
29062	2460	166546	DIA_VLK_3123_RANDOLPH_HONIG_INFO	B_LOGENTRY.ENTRY	LOG_ADDENTRY.PAR1	Рэндольф с радостью принял банку меда.	Randolph z radością przyjął słoik miodu.
29063	2460	166547	DIA_VLK_3123_RANDOLPH_HELFEN	C_INFO.DESCRIPTION	C_INFO.DESCRIPTION	Могу я тебе помочь?	Ěîăó ˙ ňĺáĺ ďîěî÷ü?
29064	-1	41894	DIA_VLK_3123_RANDOLPH_HELFEN_INFO	AI_OUTPUT(OTHER,SELF,"DIA_VLK_3123_Randolph_helfen_14_00")	SUBTITLE	Могу я тебе помочь?	Ěîăó ˙ ňĺáĺ ďîěî÷ü?
29065	-1	41894	DIA_VLK_3123_RANDOLPH_HELFEN_INFO	AI_OUTPUT(SELF,OTHER,"DIA_VLK_3123_Randolph_helfen_14_01")	SUBTITLE	Конечно, моя пила сломалась. Поэтому я одолжил пилу у Барко.	Ęîíĺ÷íî, ěî˙ ďčëŕ ńëîěŕëŕńü. Ďîýňîěó ˙ îäîëćčë ďčëó ó Áŕđęî.
29066	-1	41894	DIA_VLK_3123_RANDOLPH_HELFEN_INFO	AI_OUTPUT(SELF,OTHER,"DIA_VLK_3123_Randolph_helfen_14_02")	SUBTITLE	Но поскольку он наверняка захочет снова получить свою пилу в какой-то момент, мне нужно отремонтировать мою пилу.	Íî ďîńęîëüęó îí íŕâĺđí˙ęŕ çŕőî÷ĺň ńíîâŕ ďîëó÷čňü ńâîţ ďčëó â ęŕęîé-ňî ěîěĺíň, ěíĺ íóćíî îňđĺěîíňčđîâŕňü ěîţ ďčëó.
29067	-1	41894	DIA_VLK_3123_RANDOLPH_HELFEN_INFO	AI_OUTPUT(SELF,OTHER,"DIA_VLK_3123_Randolph_helfen_14_03")	SUBTITLE	Я еще не нашел времени отнести пилу кузнецу Ренцу. Но ты ведь мог бы сделать это за меня.	ß ĺůĺ íĺ íŕřĺë âđĺěĺíč îňíĺńňč ďčëó ęóçíĺöó Đĺíöó. Íî ňű âĺäü ěîă áű ńäĺëŕňü ýňî çŕ ěĺí˙.
